transport,n_templates,n_fixed_pairs,mean_target_minus_comparator_z,ci95_low,ci95_high,ci90_low,ci90_high,selected_id_advantage,practical_comparability
jacobian,51,6,0.12504860342920063,0.11366014191714885,0.1362383379886354,0.11557760287783223,0.13437140527019784,False,True
identity,51,6,0.007287042159576926,-0.009067520705401445,0.023596263188131506,-0.006383665391851702,0.020903414290834452,False,True
random_j_1,51,6,-0.012383962575246182,-0.03779719809572098,0.013611838383964578,-0.033691957373506935,0.009404063421038531,False,True
random_j_2,51,6,0.08304960838406966,0.05412577420400344,0.11206062028732983,0.058518639390873706,0.10768857539760983,False,True
random_j_3,51,6,-0.17480380447886326,-0.19712005919041478,-0.1528755992065336,-0.1936024314955052,-0.15634069294203068,False,True
random_j_4,51,6,-0.0950684810351518,-0.11881638088628091,-0.07294640939102844,-0.11475245093364485,-0.07611306268139363,False,True
random_j_5,51,6,-0.08191561354125569,-0.09503600881756155,-0.06884139445162352,-0.09290774862381791,-0.07098341276605032,False,True
