transport,intervention_family,feature_id,lexicon,n_templates,mean_oriented_z,ci_low,ci_high,inference_role
jacobian,refusal_safety,13092,hedging_uncertainty,51,-0.023495278531222956,-0.0421561509338878,-0.005469509737502406,mandatory_descriptive_heterogeneity
jacobian,refusal_safety,13092,formality_politeness,51,-0.08511076522010394,-0.10706946250350481,-0.06339315035503143,mandatory_descriptive_heterogeneity
jacobian,refusal_safety,53974,deception_dishonesty,51,0.03138898465913574,0.01748982905822863,0.044614012553457004,mandatory_descriptive_heterogeneity
jacobian,refusal_safety,53974,refusal_safety,51,0.5580976021838581,0.5318000326923077,0.5852768096884112,mandatory_descriptive_heterogeneity
jacobian,refusal_safety,53974,hedging_uncertainty,51,-0.06680696944295782,-0.08167609426639892,-0.05217792004989188,mandatory_descriptive_heterogeneity
jacobian,refusal_safety,53974,formality_politeness,51,0.22806541649323525,0.20727106536050743,0.2485446031853923,mandatory_descriptive_heterogeneity
jacobian,refusal_safety,61212,deception_dishonesty,51,-0.020626602175916425,-0.0326174738044369,-0.0087102865763574,mandatory_descriptive_heterogeneity
jacobian,refusal_safety,61212,refusal_safety,51,0.05389837331855321,0.04196907010178594,0.06619988109104143,mandatory_descriptive_heterogeneity
jacobian,refusal_safety,61212,hedging_uncertainty,51,-0.0017849652823555778,-0.01717294597407461,0.01378447149155143,mandatory_descriptive_heterogeneity
jacobian,refusal_safety,61212,formality_politeness,51,0.024250814731391224,0.009125580445509754,0.039273227846738076,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,8923,deception_dishonesty,51,-0.09550702340040676,-0.10772099515851144,-0.0838721214436584,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,8923,refusal_safety,51,-0.1040680255736313,-0.12211660536070539,-0.08683364157590139,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,8923,hedging_uncertainty,51,0.033783109020725566,0.023513596433347776,0.044173762895885316,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,8923,formality_politeness,51,-0.06943547871923195,-0.0896638977935058,-0.04958035310735608,mandatory_descriptive_heterogeneity
