reader_id,reader_family,n,auroc,auprc,brier,tpr_at_1pct_fpr,macro_leave_one_pair_auroc,macro_bootstrap_ci_low,macro_bootstrap_ci_high,paired_permutation_one_sided_p,holm_adjusted_p,material_detection
v1_jacobian_67,v1_lexicon_logits,1224,0.49824586697424067,0.501274028158548,0.3061388012548575,0.011437908496732025,0.49851018838908107,0.49562668204536725,0.5011373830577982,0.6167191640417979,1.0,False
v1_identity_67,v1_lexicon_logits,1224,0.5012628689820154,0.5043438013955547,0.3604224076755977,0.013071895424836602,0.502034473920287,0.4999199026015635,0.5046616685890042,0.21688915554222288,1.0,False
v1_random_j_1_67,v1_lexicon_logits,1224,0.5074757571874066,0.5074180295462647,0.3244013987090408,0.011437908496732025,0.5078976034858388,0.505767012687428,0.5112136357811098,0.031098445077746114,0.37318134093295335,False
v1_random_j_2_67,v1_lexicon_logits,1224,0.5049313298304071,0.5060545332904428,0.37057529964740626,0.00980392156862745,0.5055907984108675,0.5036524413687044,0.5086024605920799,0.013799310034498274,0.17939103044847757,False
v1_random_j_3_67,v1_lexicon_logits,1224,0.5015245204835748,0.5035281421545676,0.34349580960191745,0.014705882352941176,0.502515058310906,0.49947095668332686,0.5059272074843009,0.25963701814909257,1.0,False
v1_random_j_4_67,v1_lexicon_logits,1224,0.5060927421077364,0.5045321928744858,0.3284631419689748,0.00980392156862745,0.5058471100858644,0.5039087530437011,0.5090670255030116,0.06539673016349183,0.6539673016349183,False
v1_random_j_5_67,v1_lexicon_logits,1224,0.5021305907984109,0.5029051377166094,0.3310502434970466,0.006535947712418301,0.5019543765218505,0.4997593073176983,0.5046616685890043,0.27903604819759015,1.0,False
residual_pca_67,residual_pca,1224,0.509440813362382,0.5179786383742117,0.2621591046869899,0.0196078431372549,0.5100922722029989,0.5063116749967961,0.5159397827758554,0.009099545022748862,0.12739363031848408,False
residual_random_projection_67_seed_2026071201,residual_random_projection,1224,0.49714586270237937,0.4994006173178691,0.34498872150202187,0.00980392156862745,0.49743688325003205,0.4941689093938229,0.4999038831218763,0.7933603319834008,1.0,False
residual_random_projection_67_seed_2026071202,residual_random_projection,1224,0.49940193942500744,0.501754026568993,0.3398921611413995,0.008169934640522876,0.5002883506343714,0.49767717544534157,0.5030757400999615,0.4546772661366932,1.0,False
residual_random_projection_67_seed_2026071203,residual_random_projection,1224,0.5036898201546414,0.504875340812605,0.33717091268444804,0.013071895424836602,0.5029155453030886,0.5005606817890554,0.5053825451749328,0.2016399180040998,1.0,False
residual_random_projection_67_seed_2026071204,residual_random_projection,1224,0.49793615703361954,0.5000295283033969,0.3491007332929607,0.00980392156862745,0.4974048442906574,0.49495386389850055,0.4996475714468794,0.8324583770811459,1.0,False
residual_random_projection_67_seed_2026071205,residual_random_projection,1224,0.4977359135375283,0.49894101548341097,0.34825629441861494,0.011437908496732025,0.4977893118031526,0.49533833141099576,0.49908688965782394,0.7691615419229039,1.0,False
residual_full_8192,residual_full,1224,0.5062075483788286,0.5058363989428142,0.47396341903869044,0.0,0.5068082788671023,0.5046054001666025,0.5107650903498654,0.041797910104494775,0.4597770111494425,False
