transport,intervention_family,lexicon,n_templates,mean_oriented_z,ci_low,ci_high
jacobian,deception_dishonesty,deception_dishonesty,51,0.2827110797938032,0.267067423074179,0.29833478097154376
jacobian,deception_dishonesty,refusal_safety,51,0.027164287275616417,0.02064074196159454,0.033940987258411666
jacobian,deception_dishonesty,hedging_uncertainty,51,0.006404752772615283,0.0009816010653845599,0.011841702995982754
jacobian,deception_dishonesty,formality_politeness,51,0.026236654004632595,0.016942391572740967,0.03553774078811594
jacobian,refusal_safety,deception_dishonesty,51,-0.018451077156373067,-0.026109204603142113,-0.011204675495161296
jacobian,refusal_safety,refusal_safety,51,0.18681754097027448,0.17519038904238282,0.19857448210546927
jacobian,refusal_safety,hedging_uncertainty,51,-0.012686571147936167,-0.02187020736684707,-0.003727945244780718
jacobian,refusal_safety,formality_politeness,51,0.04625399546307381,0.0365482481252742,0.056401956421748604
jacobian,hedging_uncertainty,deception_dishonesty,51,-0.012250999188023224,-0.016784670569008075,-0.0077332833975762945
jacobian,hedging_uncertainty,refusal_safety,51,0.029814823545340607,0.02327134790656051,0.03633346753128955
jacobian,hedging_uncertainty,hedging_uncertainty,51,0.15393611104062388,0.14786145586455,0.1599553568914023
jacobian,hedging_uncertainty,formality_politeness,51,0.016900463722486308,0.007839091534562788,0.02508344970798623
jacobian,formality_politeness,deception_dishonesty,51,0.027669021603537652,0.02250886601780699,0.03314221370729093
jacobian,formality_politeness,refusal_safety,51,0.05675637962123072,0.0505482443738636,0.06331744212779183
jacobian,formality_politeness,hedging_uncertainty,51,0.016773556909747314,0.011888233786637935,0.02177124533292167
jacobian,formality_politeness,formality_politeness,51,0.14392966460577417,0.13445304611481243,0.1539559622835078
identity,deception_dishonesty,deception_dishonesty,51,0.18230831735533914,0.16224061538628254,0.20105219845811168
identity,deception_dishonesty,refusal_safety,51,0.004251516495792625,-0.005795064479468978,0.015257181707581138
identity,deception_dishonesty,hedging_uncertainty,51,-0.0015347011423330976,-0.01059271422653963,0.007671619232770606
identity,deception_dishonesty,formality_politeness,51,0.0011122892430999792,-0.011543271358606414,0.013600237390987568
identity,refusal_safety,deception_dishonesty,51,-0.09445609557113219,-0.11092023744324309,-0.07949951481102677
identity,refusal_safety,refusal_safety,51,0.12802294378252932,0.11410258145963602,0.14170820742879256
identity,refusal_safety,hedging_uncertainty,51,-0.055033112420655464,-0.06918267837322632,-0.041185581678221984
identity,refusal_safety,formality_politeness,51,-0.0717497414967934,-0.08991759319156993,-0.05386857887116948
identity,hedging_uncertainty,deception_dishonesty,51,0.051468522831861506,0.04129508654797218,0.061901806760114524
identity,hedging_uncertainty,refusal_safety,51,0.02349409780430034,0.013594108947160457,0.03356647537928985
identity,hedging_uncertainty,hedging_uncertainty,51,0.20033569890517375,0.18917337163967346,0.21186471020944364
identity,hedging_uncertainty,formality_politeness,51,0.06502295491729655,0.053044946288577484,0.07636634306064291
identity,formality_politeness,deception_dishonesty,51,0.05702857409699162,0.04565000601824191,0.06898562772844184
identity,formality_politeness,refusal_safety,51,0.048092457997064395,0.037403838076001956,0.05901830823068028
identity,formality_politeness,hedging_uncertainty,51,-0.022363777516998744,-0.034739139535907695,-0.01091481901874564
identity,formality_politeness,formality_politeness,51,0.024706898469805574,0.014335073737597874,0.03545358374286474
random_j_1,deception_dishonesty,deception_dishonesty,51,0.08209605987761716,0.06326803516874129,0.10151934956149915
random_j_1,deception_dishonesty,refusal_safety,51,0.0700426307884853,0.052940184416791165,0.08797673380066091
random_j_1,deception_dishonesty,hedging_uncertainty,51,0.11675942466294584,0.10116445264309236,0.1322721462530937
random_j_1,deception_dishonesty,formality_politeness,51,0.08487404786638769,0.06876947284582155,0.10084383040576533
random_j_1,refusal_safety,deception_dishonesty,51,0.08415116417424652,0.05812410946339239,0.10924635943520702
random_j_1,refusal_safety,refusal_safety,51,0.09461199158652589,0.07566592497066667,0.1138650396622614
random_j_1,refusal_safety,hedging_uncertainty,51,0.1498726064176215,0.12180404720705425,0.18072472678415397
random_j_1,refusal_safety,formality_politeness,51,0.13062631595417504,0.10849783347920884,0.15495483348925676
random_j_1,hedging_uncertainty,deception_dishonesty,51,-0.02812307003483624,-0.04177614190403531,-0.015106330246848923
random_j_1,hedging_uncertainty,refusal_safety,51,-0.07912591141107897,-0.09448529054199623,-0.0633196204101936
random_j_1,hedging_uncertainty,hedging_uncertainty,51,-0.06712739551545051,-0.08001003413588433,-0.05450829263081018
random_j_1,hedging_uncertainty,formality_politeness,51,-0.01901160850584212,-0.03492164859817783,-0.0030159227250261445
random_j_1,formality_politeness,deception_dishonesty,51,-0.006558063718309448,-0.021085344624686024,0.007816407945219763
random_j_1,formality_politeness,refusal_safety,51,-0.055269233721674506,-0.06901479681940254,-0.04116752254555237
random_j_1,formality_politeness,hedging_uncertainty,51,-0.058937808119487296,-0.07423104085999574,-0.04313187802831001
random_j_1,formality_politeness,formality_politeness,51,0.02420606748381244,0.004871411195185892,0.042433944972267934
random_j_2,deception_dishonesty,deception_dishonesty,51,0.08734541281078831,0.06907831364578756,0.10594322751993518
random_j_2,deception_dishonesty,refusal_safety,51,-0.048921944110358405,-0.06380158567622439,-0.03468512875723446
random_j_2,deception_dishonesty,hedging_uncertainty,51,0.07311688257009949,0.06235781259450318,0.08391459735039136
random_j_2,deception_dishonesty,formality_politeness,51,0.07059690243312787,0.05615336557123486,0.08479176163144915
random_j_2,refusal_safety,deception_dishonesty,51,-0.06685621735990104,-0.0986438048903983,-0.036242785149474856
random_j_2,refusal_safety,refusal_safety,51,-0.00397280519848645,-0.02402129906597034,0.01594985101913944
random_j_2,refusal_safety,hedging_uncertainty,51,0.026765561261656117,0.005345009824918277,0.0487337924565823
random_j_2,refusal_safety,formality_politeness,51,0.08406619943257114,0.06547043574436819,0.10234865997594529
random_j_2,hedging_uncertainty,deception_dishonesty,51,0.04257183203006981,0.02398613878439878,0.06095947337360768
random_j_2,hedging_uncertainty,refusal_safety,51,-0.005159503979266999,-0.023660607717483628,0.010983223669214554
random_j_2,hedging_uncertainty,hedging_uncertainty,51,-0.006302219784206299,-0.019393455844652255,0.006832387888807603
random_j_2,hedging_uncertainty,formality_politeness,51,-0.0016227241852010573,-0.015028448865193717,0.011695884493969005
random_j_2,formality_politeness,deception_dishonesty,51,-0.05284692673021166,-0.06786891236390265,-0.03782917693845423
random_j_2,formality_politeness,refusal_safety,51,-0.05829221702626827,-0.07180214933685766,-0.04516217620343534
random_j_2,formality_politeness,hedging_uncertainty,51,-0.007545181877179567,-0.019742393332279593,0.004570551661785569
random_j_2,formality_politeness,formality_politeness,51,-0.00132318419893967,-0.017414516565944952,0.01356304006713943
random_j_3,deception_dishonesty,deception_dishonesty,51,-0.12487442316129188,-0.14359908412351283,-0.10612014859705952
random_j_3,deception_dishonesty,refusal_safety,51,-0.12426602960797926,-0.14016010622556416,-0.10908442191774047
random_j_3,deception_dishonesty,hedging_uncertainty,51,-0.08429405046839886,-0.09930657634430039,-0.06848203405805246
random_j_3,deception_dishonesty,formality_politeness,51,-0.1478963845287286,-0.16449486834898133,-0.1306840390675173
random_j_3,refusal_safety,deception_dishonesty,51,0.04654094586650908,0.024544676680813806,0.06758617967487555
random_j_3,refusal_safety,refusal_safety,51,0.010460984043997635,-0.0015521549398446492,0.02286216843966234
random_j_3,refusal_safety,hedging_uncertainty,51,-0.05091059976516387,-0.06775586698748937,-0.033967566333478624
random_j_3,refusal_safety,formality_politeness,51,-0.01483584604876697,-0.03636011052259873,0.005560049338985616
random_j_3,hedging_uncertainty,deception_dishonesty,51,0.010318004802498332,-0.00048242855125796606,0.02093163626910146
random_j_3,hedging_uncertainty,refusal_safety,51,-0.01450153575350008,-0.027235692890406622,-0.002185444658387324
random_j_3,hedging_uncertainty,hedging_uncertainty,51,-0.06516476115812642,-0.07792985114180118,-0.05292041878706716
random_j_3,hedging_uncertainty,formality_politeness,51,-0.06691061606889313,-0.08080813072064759,-0.05318874757872787
random_j_3,formality_politeness,deception_dishonesty,51,-0.044688455575392194,-0.05544012248996636,-0.03417860148307725
