transport,target_feature_id,comparator_feature_id,semantic_family,mean_target_minus_comparator_z,ci_low,ci_high
jacobian,30032,26904,pretending_impersonation,0.08239010381668621,0.06703138347867944,0.09814790149719163
jacobian,58667,58294,deception_dishonesty,-0.10033016350833844,-0.11945224486784822,-0.08238394138978955
jacobian,22004,44571,roleplay_persona,0.11220636295117452,0.09826075470405737,0.12611106787695803
jacobian,30686,63851,deception_dishonesty,0.5202570493643541,0.49563165239449963,0.5447705073709923
jacobian,41533,48322,deception_dishonesty,0.14320829243732033,0.11814395252571706,0.1678851777391516
jacobian,23893,2428,roleplay_persona,-0.007440024485992941,-0.025921508287842503,0.01032192480909424
identity,30032,26904,pretending_impersonation,0.07787475745164033,0.04728794049968695,0.10796206008514592
identity,58667,58294,deception_dishonesty,-0.5193611475474338,-0.5576644586571917,-0.4820498802673746
identity,22004,44571,roleplay_persona,0.13871113309553446,0.11025685770866321,0.16767195531802623
identity,30686,63851,deception_dishonesty,0.3889618595464182,0.3432320146172721,0.4334226090002158
identity,41533,48322,deception_dishonesty,-0.06000605557323764,-0.10444724201574526,-0.01690429280815874
identity,23893,2428,roleplay_persona,0.017541705984540017,-0.016979700626939834,0.0523567725955987
random_j_1,30032,26904,pretending_impersonation,-0.09732276824714403,-0.15030948672723682,-0.04353022673551562
random_j_1,58667,58294,deception_dishonesty,0.1602163872563682,0.11388870366492218,0.20745754520975215
random_j_1,22004,44571,roleplay_persona,0.012137498678750545,-0.04043770260453868,0.06691050728019819
random_j_1,30686,63851,deception_dishonesty,0.002705501964999901,-0.03718239699505172,0.04243917838748131
random_j_1,41533,48322,deception_dishonesty,-0.17947548810748598,-0.22968480281075593,-0.12826739534837472
random_j_1,23893,2428,roleplay_persona,0.027435093003034334,-0.03681058753433642,0.09002017853046544
random_j_2,30032,26904,pretending_impersonation,0.31829740588664773,0.24654783831213864,0.3941584930809464
random_j_2,58667,58294,deception_dishonesty,-0.03981880429412307,-0.10196466072132515,0.026221878046597258
random_j_2,22004,44571,roleplay_persona,-0.10737729132535352,-0.153412561763792,-0.057661100553928486
random_j_2,30686,63851,deception_dishonesty,0.302924802084667,0.24982163765968435,0.3570280449551664
random_j_2,41533,48322,deception_dishonesty,0.03386566962275412,-0.028332969283550603,0.09721375166576968
random_j_2,23893,2428,roleplay_persona,-0.009594131670174226,-0.06292838426053367,0.04293131803727978
random_j_3,30032,26904,pretending_impersonation,-0.13176455987468966,-0.17443695228573755,-0.08739402816689165
random_j_3,58667,58294,deception_dishonesty,-0.19559118318619326,-0.23746451738605778,-0.1534409905073983
random_j_3,22004,44571,roleplay_persona,-0.21276512086038074,-0.26535660263039845,-0.16173228073796014
random_j_3,30686,63851,deception_dishonesty,0.004108272598795075,-0.03252998265594792,0.040466772300294704
random_j_3,41533,48322,deception_dishonesty,-0.12295500075757172,-0.17227787921647647,-0.07354763814800593
random_j_3,23893,2428,roleplay_persona,-0.38985523479313927,-0.4536625960774593,-0.327974249471237
random_j_4,30032,26904,pretending_impersonation,-0.03783438201089217,-0.09046904252318087,0.013441603655073244
random_j_4,58667,58294,deception_dishonesty,-0.3364238641983787,-0.3896546182508995,-0.28385229613694185
random_j_4,22004,44571,roleplay_persona,0.0014751570607890736,-0.036319527323969904,0.038368958766668355
random_j_4,30686,63851,deception_dishonesty,-0.07595552795045307,-0.1162935907350646,-0.037007112144483954
random_j_4,41533,48322,deception_dishonesty,-0.3511163891819049,-0.41480754546471515,-0.2890647590117199
random_j_4,23893,2428,roleplay_persona,0.2294441200699289,0.18455709500059655,0.2738718989435694
random_j_5,30032,26904,pretending_impersonation,-0.055779666469115724,-0.09058860288405625,-0.021020971591041947
random_j_5,58667,58294,deception_dishonesty,0.10589466214354533,0.07094300387313493,0.1398569477940217
random_j_5,22004,44571,roleplay_persona,-0.126435170862215,-0.15460923557409254,-0.09833761432966527
random_j_5,30686,63851,deception_dishonesty,0.0009582713704093202,-0.02770981114971812,0.02945479639055267
random_j_5,41533,48322,deception_dishonesty,-0.4746497703348296,-0.5202549553846605,-0.4305410896935477
random_j_5,23893,2428,roleplay_persona,0.05851799290467145,0.020225587683446188,0.09768775201929529
