condition,cosine_distance_to_centroid
conceptual_paper,0.11873064469701577
conceptual_paper,0.10600948148087674
conceptual_paper,0.09978661106243569
conceptual_paper,0.1514567433366396
conceptual_paper,0.3496109538229558
conceptual_paper,0.10582490547251489
conceptual_paper,0.18096375724310843
conceptual_paper,0.11465459535632883
conceptual_paper,0.19120097975703187
conceptual_paper,0.16892341657333465
conceptual_paper,0.09064565407178793
conceptual_paper,0.1286924446816171
conceptual_paper,0.3497153282887513
conceptual_paper,0.14890850463329464
conceptual_paper,0.18401052096433657
conceptual_paper,0.09051097921038243
conceptual_paper,0.19491355505891406
conceptual_paper,0.25323191221151875
conceptual_paper,0.37876517710164803
conceptual_paper,0.21158540289789718
conceptual_paper,0.16701781607791644
conceptual_paper,0.18916074384724801
conceptual_paper,0.17099188233264995
conceptual_paper,0.11223257809971643
conceptual_paper,0.14528769370825478
conceptual_paper,0.1737143777200254
conceptual_paper,0.1097935152456706
conceptual_paper,0.1423602955117962
conceptual_paper,0.13359560642787294
conceptual_paper,0.3496109538229558
conceptual_paper,0.19491355505891406
conceptual_paper,0.20068052246903445
conceptual_paper,0.1915910672031802
conceptual_paper,0.1041347459030838
conceptual_paper,0.18050276727159376
conceptual_paper,0.12273477376211839
conceptual_paper,0.17099188233264995
conceptual_paper,0.16892341657333465
conceptual_paper,0.25323191221151875
conceptual_paper,0.1514567433366396
conceptual_paper,0.27389075692338216
conceptual_paper,0.10947432335921148
conceptual_paper,0.1737143777200254
conceptual_paper,0.17125395372566166
conceptual_paper,0.09998063015115422
conceptual_paper,0.113997382380013
conceptual_paper,0.1136490013996394
conceptual_paper,0.1497945782816641
conceptual_paper,0.1187677634898523
conceptual_paper,0.13969326022730044
forced_disclaimer,0.034822718245201
forced_disclaimer,0.13870101369157462
forced_disclaimer,0.1165663575384921
forced_disclaimer,0.05377520423360971
forced_disclaimer,0.118827249816574
forced_disclaimer,0.28367316869605697
forced_disclaimer,0.02998721877998256
forced_disclaimer,0.021036341148395143
forced_disclaimer,0.03752009838810766
forced_disclaimer,0.026611727228858628
forced_disclaimer,0.06507328985802363
forced_disclaimer,0.029348853990164958
forced_disclaimer,0.02535379571286267
forced_disclaimer,0.03269644799135274
forced_disclaimer,0.02737851112677281
forced_disclaimer,0.02105306574523369
forced_disclaimer,0.1692422283148447
forced_disclaimer,0.17848278468626266
forced_disclaimer,0.13991905880894873
forced_disclaimer,0.02105306574523369
forced_disclaimer,0.048790179316929305
forced_disclaimer,0.022646932085111593
forced_disclaimer,0.024922724662462592
forced_disclaimer,0.024745903440912986
forced_disclaimer,0.0256167930533463
forced_disclaimer,0.10527591355881993
forced_disclaimer,0.11961884879772888
forced_disclaimer,0.029966760118737112
forced_disclaimer,0.1360910652695514
forced_disclaimer,0.02961846381480171
forced_disclaimer,0.05030251739915881
forced_disclaimer,0.024405639944288793
forced_disclaimer,0.24782382222620492
forced_disclaimer,0.03708764778986462
forced_disclaimer,0.21201786786419574
forced_disclaimer,0.024745903440912986
forced_disclaimer,0.24581413058908774
forced_disclaimer,0.02767244127684565
forced_disclaimer,0.08466187887954701
forced_disclaimer,0.028138179900871085
forced_disclaimer,0.03326243272356311
forced_disclaimer,0.029568813411182893
forced_disclaimer,0.03211251694185768
forced_disclaimer,0.028584086634977468
forced_disclaimer,0.14738519772433134
forced_disclaimer,0.02794123018120942
forced_disclaimer,0.026233732451311553
forced_disclaimer,0.08459549509658493
forced_disclaimer,0.2710189901553324
forced_disclaimer,0.12236723481628542
history_paper,0.03362923955284125
history_paper,0.03362923955284125
history_paper,0.03149648321994958
history_paper,0.07723441555942157
history_paper,0.03174190582455938
history_paper,0.057198290253091644
history_paper,0.03149648321994958
history_paper,0.045523612844865835
history_paper,0.03149644110112071
history_paper,0.10444266763565624
history_paper,0.14976608736318986
history_paper,0.07692805776245659
history_paper,0.04507653493414687
history_paper,0.04507653493414687
history_paper,0.05273104513433591
history_paper,0.03464331364944784
history_paper,0.035833021982282665
history_paper,0.07321417576798106
history_paper,0.057198290253091644
history_paper,0.08307799585039799
history_paper,0.10314727933551293
history_paper,0.03149648321994958
history_paper,0.051388137366800146
history_paper,0.03149644110112071
history_paper,0.03149648321994958
history_paper,0.07692805776245659
history_paper,0.035833021982282665
history_paper,0.04486256248258624
history_paper,0.030267936495874004
history_paper,0.03429474441452918
history_paper,0.03362167925784032
history_paper,0.035833021982282665
history_paper,0.09856184983637295
history_paper,0.05321361848342043
history_paper,0.02994913854392811
history_paper,0.10450726536421417
