task,readout,holdout,n,n_positive,prevalence,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,brier,brier_ci_low,brier_ci_high,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_low,tpr_at_1pct_fpr_ci_high
any_intervention,jacobian,prompt_family_grouped_5fold,1581,1530,0.967741935483871,0.5091759579648854,0.5077149814174036,0.5153146225810585,0.968946893914906,0.9689776346084827,0.9700011108780016,0.3266538950386858,0.2456875307559543,0.4111656145086416,0.013725490196078431,0.011111111111111112,0.0457516339869281
any_intervention,identity,prompt_family_grouped_5fold,1581,1530,0.967741935483871,0.5129181084198385,0.5098804946815327,0.5199410483147507,0.9689004553991806,0.9687474504932,0.9699928017945735,0.3072984312600392,0.22319375326345878,0.3964276543050242,0.00784313725490196,0.00784313725490196,0.0392156862745098
any_intervention,random_j_1,prompt_family_grouped_5fold,1581,1530,0.967741935483871,0.5087145969498911,0.5061258490324234,0.514955786236063,0.9689055591683714,0.968858650729312,0.9698817443851896,0.3250738331695825,0.23711464908765242,0.41789267129753166,0.011764705882352941,0.01045751633986928,0.047058823529411764
any_intervention,random_j_2,prompt_family_grouped_5fold,1581,1530,0.967741935483871,0.5115212097911059,0.5085479943611431,0.517583301294374,0.969099589912429,0.9687930599652068,0.9705451900055345,0.2276701764969911,0.15954622119720152,0.30105881025934234,0.00784313725490196,0.00784313725490196,0.03986928104575163
any_intervention,random_j_3,prompt_family_grouped_5fold,1581,1530,0.967741935483871,0.5202742534922465,0.5149557862360631,0.5307320902217096,0.9699662873784828,0.9696284846441913,0.9714172546245122,0.294266784250092,0.22146040638867975,0.3706109904837752,0.011111111111111112,0.00980392156862745,0.05359477124183006
any_intervention,random_j_4,prompt_family_grouped_5fold,1581,1530,0.967741935483871,0.5150070485710625,0.5124951941560938,0.5226195053184672,0.9698787295997628,0.9696286142058754,0.9708491008362483,0.3113722493269598,0.22194562778542443,0.40490367277390515,0.0196078431372549,0.00980392156862745,0.05163398692810457
any_intervention,random_j_5,prompt_family_grouped_5fold,1581,1530,0.967741935483871,0.5099064462386261,0.5076124567474048,0.5153274381648084,0.96946593578777,0.9692566437243236,0.9705899973747951,0.3016933707394767,0.23025747940217128,0.3774176100047558,0.01699346405228758,0.009150326797385621,0.047058823529411764
any_intervention,raw_residual_norm,prompt_family_grouped_5fold,1581,1530,0.967741935483871,0.5020248622324747,0.49896161732666916,0.5055363321799308,0.9680340256065174,0.967829806482659,0.9689745572737887,0.24998030306048416,0.24947931223066475,0.25051245016244933,0.00718954248366013,0.00718954248366013,0.03137254901960784
target_attribution,jacobian,crossed_prompt_family_and_feature_pair,1224,612,0.5,0.49982378572343966,0.4977785654021957,0.5015940049767184,0.5018008365826827,0.5007522953705318,0.5064352594371974,0.31281486923027163,0.30004710809458357,0.3265091491748134,0.00980392156862745,0.0,0.0196078431372549
target_attribution,identity,crossed_prompt_family_and_feature_pair,1224,612,0.5,0.5013242769874835,0.49976504763125296,0.5028114854329532,0.5029406249796268,0.5024605794070919,0.5063285495840727,0.3539959556200476,0.33678705589922936,0.37176709399610885,0.011437908496732025,0.004901960784313725,0.017973856209150325
target_attribution,random_j_1,crossed_prompt_family_and_feature_pair,1224,612,0.5,0.5067575505147592,0.5050327865350934,0.5089308599256696,0.5072977865006797,0.5066458620584977,0.511414473751128,0.35019277677746563,0.3362605768306364,0.3648158882318534,0.00980392156862745,0.0032679738562091504,0.02287581699346405
target_attribution,random_j_2,crossed_prompt_family_and_feature_pair,1224,612,0.5,0.5052196804647785,0.5035696740569866,0.5074170190952197,0.5056190987454847,0.504688258314237,0.5096456439931565,0.3541472541896553,0.33811623925986023,0.37094774895943905,0.011437908496732025,0.004901960784313725,0.014705882352941176
target_attribution,random_j_3,crossed_prompt_family_and_feature_pair,1224,612,0.5,0.5011347131445171,0.49933512484514503,0.5031958861976162,0.5025002153259475,0.5020415360748557,0.5087006177373935,0.3349153519979326,0.3220039845500186,0.3484426702190025,0.014705882352941176,0.006535947712418301,0.0196078431372549
target_attribution,random_j_4,crossed_prompt_family_and_feature_pair,1224,612,0.5,0.5064024520483574,0.5043199196890085,0.5093848119313085,0.5039484486596555,0.503351776487823,0.5078086668293558,0.3243432671831951,0.3098097085952629,0.34022744867978433,0.008169934640522876,0.0032679738562091504,0.014705882352941176
target_attribution,random_j_5,crossed_prompt_family_and_feature_pair,1224,612,0.5,0.5023869024734077,0.501073238391217,0.5040208894015122,0.5039777158360995,0.5032627371424739,0.5075152169402662,0.3411575123389278,0.3266350094625682,0.3570382178491383,0.013071895424836602,0.006535947712418301,0.016339869281045753
target_attribution,raw_residual_norm,crossed_prompt_family_and_feature_pair,1224,612,0.5,0.5024936990046563,0.5016580161476355,0.5042932205561963,0.5036730950842611,0.5038311970718478,0.5064209803663181,0.24999819585171232,0.2499963718682404,0.25000024685771244,0.011437908496732025,0.006535947712418301,0.0196078431372549
