score_mode,transport,n,n_target,n_matched,n_template_families,target_mean_score,matched_mean_score,target_minus_matched_mean,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_low,tpr_at_1pct_fpr_ci_high
known_sign,jacobian,1224,612,612,51,0.8047005944863248,-0.06091064853687676,0.8656112430232016,0.8623125720876585,0.8476707676534667,0.8762202171173481,0.8845609475384075,0.8755850810547775,0.8939915413611036,0.5147058823529411,0.5016339869281046,0.5261437908496732
known_sign,identity,1224,612,612,51,0.19108986756693971,-0.019364259761204226,0.21045412732814395,0.7793944102695544,0.7508607800418642,0.8074048376158742,0.8212470069892008,0.7991375775353332,0.8439123900866219,0.32189542483660133,0.2761437908496732,0.38235294117647056
known_sign,random_j_1,1224,612,612,51,0.04871337392450739,0.04140603555096473,0.007307338373542659,0.5133442265795207,0.4776713817335213,0.5495616002392242,0.5694160278121791,0.5314577852588189,0.6111572710891205,0.05555555555555555,0.02287581699346405,0.11601307189542484
known_sign,random_j_2,1224,612,612,51,0.04671636610075046,0.018817207987155474,0.027899158113594984,0.57204627493699,0.5362413695053185,0.6083665737536845,0.5555302031016214,0.5234578208758571,0.5917222903207519,0.014705882352941176,0.004901960784313725,0.03594771241830065
known_sign,random_j_3,1224,612,612,51,-0.09285647990070763,-0.0022448145626934573,-0.09061166533801417,0.25646119014054425,0.21465245071340086,0.2998050629565551,0.36830154971209283,0.35133527521331814,0.39298345247660216,0.004901960784313725,0.0,0.013071895424836602
known_sign,random_j_4,1224,612,612,51,-0.024000260437401416,0.020495606085901005,-0.044495866523302424,0.42324132812166265,0.3900768668033662,0.458631195533769,0.4414328252904736,0.42269721938980453,0.4681330858316885,0.0,0.0,0.0
known_sign,random_j_5,1224,612,612,51,-0.11368821824745205,0.0021978739574490713,-0.11588609220490112,0.31232512068008034,0.2849781334102269,0.33862042910846246,0.3939644768394595,0.37973926301559235,0.4158376205993161,0.006535947712418301,0.0,0.0196078431372549
unknown_sign_absolute,jacobian,1224,612,612,51,0.8324333510990863,0.16404383526983735,0.668389515829249,0.7173563052672048,0.6972878687150242,0.7378816307296339,0.801668616277238,0.790747847482499,0.813262839698307,0.49673202614379086,0.4869281045751634,0.5065359477124183
unknown_sign_absolute,identity,1224,612,612,51,0.22140779596054547,0.07216501306876345,0.149242782891782,0.6987750437865778,0.666842880943227,0.7310730848712034,0.7581754372666618,0.7366313766712513,0.7809548635793475,0.31699346405228757,0.27450980392156865,0.34967320261437906
unknown_sign_absolute,random_j_1,1224,612,612,51,0.11557426657027403,0.08929023413447734,0.02628403243579669,0.5833600324661455,0.5433825531846725,0.6213129832543038,0.6033577035815048,0.5631105275668673,0.6469942015836344,0.0392156862745098,0.016339869281045753,0.09640522875816994
unknown_sign_absolute,random_j_2,1224,612,612,51,0.09832464632014379,0.09318065110653383,0.0051439952136099615,0.5202446174548251,0.4850829608804306,0.5552579269725318,0.520483014760917,0.4904178733567369,0.5536098685164738,0.017973856209150325,0.004901960784313725,0.032679738562091505
unknown_sign_absolute,random_j_3,1224,612,612,51,0.11644366729978489,0.07773638485430198,0.03870728244548291,0.645310030330215,0.6066282933380324,0.6851940626468451,0.6388485230250658,0.5919393883091182,0.6918881200605441,0.03104575163398693,0.008169934640522876,0.10947712418300654
unknown_sign_absolute,random_j_4,1224,612,612,51,0.10080848296940555,0.09195096332487261,0.008857519644532935,0.5082073134264599,0.47537308700713393,0.5403371166004528,0.5364791348641469,0.5040145315118961,0.5747261756257068,0.021241830065359478,0.008169934640522876,0.058823529411764705
unknown_sign_absolute,random_j_5,1224,612,612,51,0.16032723879513522,0.09438358605352345,0.06594365274161176,0.6216439190055107,0.5877703954675552,0.6547156342112008,0.6706310045042673,0.6418392124965896,0.7024177428776668,0.119281045751634,0.08169934640522876,0.17483660130718953
