transport,layer,position,sign,n_pairs,n_template_families,mean_target_minus_matched,ci_low,ci_high
identity,50,assistant_boundary,amplification,306,51,0.28354276882696083,0.27828306167921374,0.28899640878340044
identity,50,assistant_boundary,suppression,306,51,-0.2849719154023036,-0.2905744776993612,-0.27952680686707315
identity,50,content_mean,amplification,306,51,0.3248956548658754,0.315294340155483,0.33504967407286895
identity,50,content_mean,suppression,306,51,-0.32581813224390443,-0.3353680178109143,-0.3166644168202004
identity,50,last_content,amplification,306,51,0.252042833570919,0.2439796288780795,0.2605496127116555
identity,50,last_content,suppression,306,51,-0.2534927197273979,-0.26143674472673323,-0.24620184247607205
identity,55,assistant_boundary,amplification,306,51,0.26873175081157996,0.25241104168810025,0.2849387058517119
identity,55,assistant_boundary,suppression,306,51,-0.2695972626439185,-0.28404261504312456,-0.2549514781290568
identity,55,content_mean,amplification,306,51,0.30622487512776275,0.29547068729260145,0.3174964638095154
identity,55,content_mean,suppression,306,51,-0.30450982800106596,-0.31452938469455527,-0.2951175754074178
identity,55,last_content,amplification,306,51,0.20749673266207277,0.18713700706337036,0.22661859623591707
identity,55,last_content,suppression,306,51,-0.20842966817173303,-0.2223825398347115,-0.19413529112037226
identity,60,assistant_boundary,amplification,306,51,0.2657491821410314,0.24563900855988274,0.28570868838242713
identity,60,assistant_boundary,suppression,306,51,-0.3050357640174589,-0.323222009721212,-0.28732911994016136
identity,60,content_mean,amplification,306,51,0.3166276409588997,0.2994365480637141,0.3335181302068378
identity,60,content_mean,suppression,306,51,-0.35220146656425955,-0.36693343355083,-0.33821020634978816
identity,60,last_content,amplification,306,51,0.21694955937990465,0.19446345777479088,0.2383934802126924
identity,60,last_content,suppression,306,51,-0.2327471168474386,-0.24887523099223116,-0.2159271875642898
identity,65,assistant_boundary,amplification,306,51,0.2787637398349961,0.2550398317924084,0.30119092342170983
identity,65,assistant_boundary,suppression,306,51,-0.31428057090765443,-0.3338808540895377,-0.2942294483781891
identity,65,content_mean,amplification,306,51,0.31354416887355013,0.2947390112268063,0.3317076041603619
identity,65,content_mean,suppression,306,51,-0.3567606441530527,-0.37370897195015856,-0.340779645811596
identity,65,last_content,amplification,306,51,0.20283721384380826,0.17846638222058184,0.22581942210622966
identity,65,last_content,suppression,306,51,-0.21807104081247955,-0.23679620798973855,-0.19878875350929057
