direction_id,role,feature_id,matched_target_feature_id,control_panel,sign,transport,source_norm,transported_norm,population_excess_kurtosis,deception_minus_unrelated,group_deception,group_experience,group_hedging,group_honesty,group_intervention,group_roleplay,group_unrelated
sae-target-30032,target,30032,30032,,negative,jacobian,1.2431458234786987,1.6803956031799316,1.8383870124816895,-0.7133789658546448,-1.7073242664337158,0.9088541865348816,-0.6962890625,-1.6003906726837158,0.4025607705116272,-2.6258137226104736,-0.993945300579071
sae-target-30032,target,30032,30032,,negative,identity,1.2431458234786987,1.2431458234786987,0.5453815460205078,-0.4117187634110451,-0.10341797024011612,0.2835286557674408,0.2938598692417145,1.1092346906661987,0.6276177167892456,-0.5974256992340088,0.30830079317092896
sae-target-30032,target,30032,30032,,negative,random_j_1,1.2431458234786987,1.640917420387268,0.2671091556549072,1.4394531548023224,0.20078125596046448,0.1072048619389534,0.5228027701377869,0.8188201785087585,-0.3700086772441864,0.4682074785232544,-1.238671898841858
sae-target-30032,target,30032,30032,,negative,random_j_2,1.2431458234786987,1.625559687614441,0.2526211738586426,0.05878906697034836,0.14287109673023224,-0.0620659738779068,0.4324096739292145,-0.845898449420929,-0.9817708134651184,0.1783854216337204,0.08408202975988388
sae-target-30032,target,30032,30032,,negative,random_j_3,1.2431458234786987,1.6659150123596191,0.2547426223754883,-1.583984375,-1.7109375,-0.4073350727558136,-0.96728515625,-0.15523682534694672,-0.2569037675857544,-1.3116217851638794,-0.126953125
sae-target-30032,target,30032,30032,,negative,random_j_4,1.2431458234786987,1.5991253852844238,0.28625917434692383,-0.15424805600196123,-0.16811524331569672,-0.1878255158662796,-1.295312523841858,-0.12155761569738388,-1.0344510078430176,-0.4754774272441864,-0.013867187313735485
sae-target-30032,target,30032,30032,,negative,random_j_5,1.2431458234786987,1.6844258308410645,0.2406754493713379,-0.9371093772351742,-0.88134765625,-0.7866753339767456,-0.947094738483429,1.4033936262130737,0.3041449785232544,0.625,0.05576172098517418
sae-target-30032,target,30032,30032,,positive,jacobian,1.2431458234786987,1.6803956031799316,1.8383870124816895,0.7133789658546448,1.7073242664337158,-0.9088541865348816,0.6962890625,1.6003906726837158,-0.4025607705116272,2.6258137226104736,0.993945300579071
sae-target-30032,target,30032,30032,,positive,identity,1.2431458234786987,1.2431458234786987,0.5453815460205078,0.4117187634110451,0.10341797024011612,-0.2835286557674408,-0.2938598692417145,-1.1092346906661987,-0.6276177167892456,0.5974256992340088,-0.30830079317092896
sae-target-30032,target,30032,30032,,positive,random_j_1,1.2431458234786987,1.640917420387268,0.2671091556549072,-1.4394531548023224,-0.20078125596046448,-0.1072048619389534,-0.5228027701377869,-0.8188201785087585,0.3700086772441864,-0.4682074785232544,1.238671898841858
sae-target-30032,target,30032,30032,,positive,random_j_2,1.2431458234786987,1.625559687614441,0.2526211738586426,-0.05878906697034836,-0.14287109673023224,0.0620659738779068,-0.4324096739292145,0.845898449420929,0.9817708134651184,-0.1783854216337204,-0.08408202975988388
sae-target-30032,target,30032,30032,,positive,random_j_3,1.2431458234786987,1.6659150123596191,0.2547426223754883,1.583984375,1.7109375,0.4073350727558136,0.96728515625,0.15523682534694672,0.2569037675857544,1.3116217851638794,0.126953125
sae-target-30032,target,30032,30032,,positive,random_j_4,1.2431458234786987,1.5991253852844238,0.28625917434692383,0.15424805600196123,0.16811524331569672,0.1878255158662796,1.295312523841858,0.12155761569738388,1.0344510078430176,0.4754774272441864,0.013867187313735485
sae-target-30032,target,30032,30032,,positive,random_j_5,1.2431458234786987,1.6844258308410645,0.2406754493713379,0.9371093772351742,0.88134765625,0.7866753339767456,0.947094738483429,-1.4033936262130737,-0.3041449785232544,-0.625,-0.05576172098517418
sae-control-p1-26041,matched_control,26041,30032,1,negative,jacobian,1.243394136428833,1.8094311952590942,1.8930916786193848,1.592187575995922,1.5017822980880737,-0.1177300363779068,-0.30659180879592896,0.7342773675918579,-0.8612602949142456,-1.939670205116272,-0.09040527790784836
sae-control-p1-26041,matched_control,26041,30032,1,negative,identity,1.243394136428833,1.243394136428833,0.7352817058563232,-0.16953126341104507,0.11542969197034836,-0.12109375,-0.4959929585456848,-0.43525391817092896,-0.4281684160232544,-1.7356771230697632,0.28496095538139343
sae-control-p1-26041,matched_control,26041,30032,1,negative,random_j_1,1.243394136428833,1.6922636032104492,0.24252939224243164,1.431103527545929,0.5541015863418579,0.2154947966337204,-0.04902343824505806,0.19609375298023224,0.108778215944767,-0.158203125,-0.877001941204071
sae-control-p1-26041,matched_control,26041,30032,1,negative,random_j_2,1.243394136428833,1.6511591672897339,0.29622483253479004,0.26374513655900955,0.34648439288139343,0.1440972238779068,0.40498048067092896,-0.03242187574505806,-0.476128488779068,0.0582682304084301,0.08273925632238388
sae-control-p1-26041,matched_control,26041,30032,1,negative,random_j_3,1.243394136428833,1.6331406831741333,0.22287917137145996,-0.2519531324505806,-0.18007813394069672,1.0752631425857544,-1.3259766101837158,-0.74798583984375,-0.6043837070465088,0.1436089426279068,0.07187499850988388
sae-control-p1-26041,matched_control,26041,30032,1,negative,random_j_4,1.243394136428833,1.703296184539795,0.2757139205932617,0.761035144329071,0.3192382752895355,0.6208767294883728,-0.964648425579071,-0.2632812559604645,-0.012803819961845875,-0.4229600727558136,-0.4417968690395355
sae-control-p1-26041,matched_control,26041,30032,1,negative,random_j_5,1.243394136428833,1.5727636814117432,0.2829461097717285,0.026269525289535522,0.22539062798023224,0.8971354365348816,1.548181176185608,0.8822265863418579,0.01641337014734745,0.665147602558136,0.19912110269069672
sae-control-p1-26041,matched_control,26041,30032,1,positive,jacobian,1.243394136428833,1.8094311952590942,1.8930916786193848,-1.592187575995922,-1.5017822980880737,0.1177300363779068,0.30659180879592896,-0.7342773675918579,0.8612602949142456,1.939670205116272,0.09040527790784836
sae-control-p1-26041,matched_control,26041,30032,1,positive,identity,1.243394136428833,1.243394136428833,0.7352817058563232,0.16953126341104507,-0.11542969197034836,0.12109375,0.4959929585456848,0.43525391817092896,0.4281684160232544,1.7356771230697632,-0.28496095538139343
sae-control-p1-26041,matched_control,26041,30032,1,positive,random_j_1,1.243394136428833,1.6922636032104492,0.24252939224243164,-1.431103527545929,-0.5541015863418579,-0.2154947966337204,0.04902343824505806,-0.19609375298023224,-0.108778215944767,0.158203125,0.877001941204071
sae-control-p1-26041,matched_control,26041,30032,1,positive,random_j_2,1.243394136428833,1.6511591672897339,0.29622483253479004,-0.26374513655900955,-0.34648439288139343,-0.1440972238779068,-0.40498048067092896,0.03242187574505806,0.476128488779068,-0.0582682304084301,-0.08273925632238388
sae-control-p1-26041,matched_control,26041,30032,1,positive,random_j_3,1.243394136428833,1.6331406831741333,0.22287917137145996,0.2519531324505806,0.18007813394069672,-1.0752631425857544,1.3259766101837158,0.74798583984375,0.6043837070465088,-0.1436089426279068,-0.07187499850988388
sae-control-p1-26041,matched_control,26041,30032,1,positive,random_j_4,1.243394136428833,1.703296184539795,0.2757139205932617,-0.761035144329071,-0.3192382752895355,-0.6208767294883728,0.964648425579071,0.2632812559604645,0.012803819961845875,0.4229600727558136,0.4417968690395355
sae-control-p1-26041,matched_control,26041,30032,1,positive,random_j_5,1.243394136428833,1.5727636814117432,0.2829461097717285,-0.026269525289535522,-0.22539062798023224,-0.8971354365348816,-1.548181176185608,-0.8822265863418579,-0.01641337014734745,-0.665147602558136,-0.19912110269069672
sae-control-p2-16004,matched_control,16004,30032,2,negative,jacobian,1.2436217069625854,1.7201160192489624,1.5506367683410645,-2.5009154677391052,-2.924999952316284,-1.5633680820465088,-1.71875,-3.909374952316284,-1.3775228261947632,-1.564670205116272,-0.42408448457717896
sae-control-p2-16004,matched_control,16004,30032,2,negative,identity,1.2436217069625854,1.2436217069625854,0.42172956466674805,-0.8598389029502869,-0.44316408038139343,0.3565538227558136,1.8489258289337158,-1.3673828840255737,0.697265625,-0.28125,0.41667482256889343
sae-control-p2-16004,matched_control,16004,30032,2,negative,random_j_1,1.2436217069625854,1.6575318574905396,0.26734304428100586,0.9630370959639549,0.853564441204071,0.5012885332107544,-0.2998046875,-0.6898437738418579,-0.2496202290058136,1.1408963203430176,-0.10947265475988388
sae-control-p2-16004,matched_control,16004,30032,2,negative,random_j_2,1.2436217069625854,1.581123948097229,0.27204442024230957,-0.74560546875,-0.4579101502895355,-0.4007161557674408,-0.8841797113418579,0.17705078423023224,-1.67578125,-0.2154947966337204,0.2876953184604645
sae-control-p2-16004,matched_control,16004,30032,2,negative,random_j_3,1.2436217069625854,1.6387990713119507,0.26631689071655273,-0.5069335699081421,0.46601563692092896,0.3873155415058136,0.971484363079071,-1.450537085533142,0.1506076455116272,0.390625,0.972949206829071
sae-control-p2-16004,matched_control,16004,30032,2,negative,random_j_4,1.2436217069625854,1.610161542892456,0.287182092666626,-0.07623901963233948,0.335723876953125,0.2491319477558136,0.3578124940395355,-0.9590820670127869,0.0547417551279068,0.3719618022441864,0.4119628965854645
sae-control-p2-16004,matched_control,16004,30032,2,negative,random_j_5,1.2436217069625854,1.6125191450119019,0.28427886962890625,-0.20814207196235657,0.26539307832717896,0.1098090261220932,0.3040527403354645,-1.4596680402755737,-0.02094184048473835,0.2765299379825592,0.4735351502895355
sae-control-p2-16004,matched_control,16004,30032,2,positive,jacobian,1.2436217069625854,1.7201160192489624,1.5506367683410645,2.5009154677391052,2.924999952316284,1.5633680820465088,1.71875,3.909374952316284,1.3775228261947632,1.564670205116272,0.42408448457717896
sae-control-p2-16004,matched_control,16004,30032,2,positive,identity,1.2436217069625854,1.2436217069625854,0.42172956466674805,0.8598389029502869,0.44316408038139343,-0.3565538227558136,-1.8489258289337158,1.3673828840255737,-0.697265625,0.28125,-0.41667482256889343
sae-control-p2-16004,matched_control,16004,30032,2,positive,random_j_1,1.2436217069625854,1.6575318574905396,0.26734304428100586,-0.9630370959639549,-0.853564441204071,-0.5012885332107544,0.2998046875,0.6898437738418579,0.2496202290058136,-1.1408963203430176,0.10947265475988388
sae-control-p2-16004,matched_control,16004,30032,2,positive,random_j_2,1.2436217069625854,1.581123948097229,0.27204442024230957,0.74560546875,0.4579101502895355,0.4007161557674408,0.8841797113418579,-0.17705078423023224,1.67578125,0.2154947966337204,-0.2876953184604645
sae-control-p2-16004,matched_control,16004,30032,2,positive,random_j_3,1.2436217069625854,1.6387990713119507,0.26631689071655273,0.5069335699081421,-0.46601563692092896,-0.3873155415058136,-0.971484363079071,1.450537085533142,-0.1506076455116272,-0.390625,-0.972949206829071
sae-control-p2-16004,matched_control,16004,30032,2,positive,random_j_4,1.2436217069625854,1.610161542892456,0.287182092666626,0.07623901963233948,-0.335723876953125,-0.2491319477558136,-0.3578124940395355,0.9590820670127869,-0.0547417551279068,-0.3719618022441864,-0.4119628965854645
sae-control-p2-16004,matched_control,16004,30032,2,positive,random_j_5,1.2436217069625854,1.6125191450119019,0.28427886962890625,0.20814207196235657,-0.26539307832717896,-0.1098090261220932,-0.3040527403354645,1.4596680402755737,0.02094184048473835,-0.2765299379825592,-0.4735351502895355
sae-control-p3-64365,matched_control,64365,30032,3,negative,jacobian,1.243656039237976,1.6326570510864258,1.787269115447998,0.012011736631393433,0.5015625357627869,0.4071858823299408,0.545117199420929,0.8497070670127869,0.4012586772441864,0.6673176884651184,0.48955079913139343
sae-control-p3-64365,matched_control,64365,30032,3,negative,identity,1.243656039237976,1.243656039237976,0.7296195030212402,-0.5445068180561066,0.30900880694389343,0.5279948115348816,0.22441406548023224,0.3779296875,0.1928168386220932,0.4972602128982544,0.853515625
sae-control-p3-64365,matched_control,64365,30032,3,negative,random_j_1,1.243656039237976,1.6027743816375732,0.24289155006408691,0.0361328125,-0.6292968988418579,-0.3346354067325592,0.23911133408546448,-1.0802735090255737,-0.0772569477558136,-0.4435763955116272,-0.6654297113418579
sae-control-p3-64365,matched_control,64365,30032,3,negative,random_j_2,1.243656039237976,1.555647850036621,0.2691001892089844,0.949877917766571,0.25439453125,-0.2360026091337204,1.012304663658142,0.76806640625,0.014756944961845875,-1.1050347089767456,-0.695483386516571
sae-control-p3-64365,matched_control,64365,30032,3,negative,random_j_3,1.243656039237976,1.596603512763977,0.23172807693481445,-0.03974607586860657,0.37626954913139343,-0.2105034738779068,1.0706055164337158,-0.567138671875,-0.8849826455116272,0.5423176884651184,0.416015625
sae-control-p3-64365,matched_control,64365,30032,3,negative,random_j_4,1.243656039237976,1.6039652824401855,0.3164806365966797,0.09819336235523224,-0.09375,0.3202039897441864,-0.04707031324505806,-0.20234374701976776,-0.1206597238779068,-0.627227783203125,-0.19194336235523224
sae-control-p3-64365,matched_control,64365,30032,3,negative,random_j_5,1.243656039237976,1.646432638168335,0.24165940284729004,0.6698242276906967,0.17036132514476776,0.4500868022441864,0.806103527545929,0.39472657442092896,1.7565103769302368,0.8357204794883728,-0.49946290254592896
