reader_id,feature_pair,n,auroc,auprc,brier,tpr_at_1pct_fpr
v1_jacobian_67,30032,204,0.5076893502499038,0.5098740131210342,0.29423506794409393,0.0196078431372549
v1_jacobian_67,58667,204,0.500480584390619,0.5210142258270594,0.30189394010457193,0.029411764705882353
v1_jacobian_67,22004,204,0.4981737793156478,0.5046663493620729,0.3142145098024635,0.00980392156862745
v1_jacobian_67,30686,204,0.5030757400999616,0.5339888051751018,0.29396659240410167,0.00980392156862745
v1_jacobian_67,41533,204,0.49250288350634375,0.5027627449185301,0.3136148931289239,0.00980392156862745
v1_jacobian_67,23893,204,0.4891387927720108,0.4951425301543123,0.31890780414499015,0.0
v1_identity_67,30032,204,0.5044213763936947,0.5112367985220978,0.34980386915287925,0.029411764705882353
v1_identity_67,58667,204,0.5117262591311034,0.5184374823566834,0.356375869947474,0.0196078431372549
v1_identity_67,22004,204,0.4963475586312957,0.5092444516988559,0.3750924762397224,0.00980392156862745
v1_identity_67,30686,204,0.5049019607843137,0.5207448329843813,0.3454426896045713,0.0196078431372549
v1_identity_67,41533,204,0.5017301038062283,0.5160758932233845,0.35845653635143054,0.0196078431372549
v1_identity_67,23893,204,0.49307958477508645,0.5012742181771271,0.3773630047575087,0.0196078431372549
v1_random_j_1_67,30032,204,0.5019223375624761,0.5071492747340852,0.33990033045651946,0.0196078431372549
v1_random_j_1_67,58667,204,0.513840830449827,0.5265444836664561,0.31685793246911526,0.0196078431372549
v1_random_j_1_67,22004,204,0.5107650903498655,0.5187558097318657,0.3308830239820658,0.0196078431372549
v1_random_j_1_67,30686,204,0.5119184928873511,0.5124821846871341,0.31918886851827777,0.0196078431372549
v1_random_j_1_67,41533,204,0.4984621299500192,0.5165867083908822,0.32178021097910103,0.0392156862745098
v1_random_j_1_67,23893,204,0.510476739715494,0.5114579444247959,0.3177980258491651,0.029411764705882353
v1_random_j_2_67,30032,204,0.503364090734333,0.5125213664064647,0.3698590290363408,0.0196078431372549
v1_random_j_2_67,58667,204,0.5075932333717801,0.5144023834661997,0.37932012726561093,0.00980392156862745
v1_random_j_2_67,22004,204,0.5031718569780854,0.5061174383134242,0.3695096315399461,0.0196078431372549
v1_random_j_2_67,30686,204,0.5063437139561706,0.5184693910670399,0.36530428153764954,0.029411764705882353
v1_random_j_2_67,41533,204,0.5056708958093041,0.5143258281858141,0.36884306579593645,0.00980392156862745
v1_random_j_2_67,23893,204,0.5074009996155324,0.5143883397903753,0.37061566270895346,0.00980392156862745
v1_random_j_3_67,30032,204,0.5035563244905805,0.5060246034688674,0.35652272398605367,0.0
v1_random_j_3_67,58667,204,0.5047097270280662,0.509663314210052,0.3418538149023091,0.029411764705882353
v1_random_j_3_67,22004,204,0.4981737793156479,0.5110380930427102,0.3352002809433809,0.00980392156862745
v1_random_j_3_67,30686,204,0.5027873894655902,0.5176303890767291,0.35591844518178994,0.0196078431372549
v1_random_j_3_67,41533,204,0.5081699346405228,0.5154342517956001,0.33195077672054374,0.00980392156862745
v1_random_j_3_67,23893,204,0.4976931949250289,0.5111629577210335,0.3395288158774275,0.00980392156862745
v1_random_j_4_67,30032,204,0.5079777008842753,0.518355525365966,0.33259203091264644,0.0196078431372549
v1_random_j_4_67,58667,204,0.5075932333717801,0.5140157774164367,0.3173277476302391,0.00980392156862745
v1_random_j_4_67,22004,204,0.5012495194156094,0.5091195674471511,0.3366935961440937,0.00980392156862745
v1_random_j_4_67,30686,204,0.5106689734717416,0.5178020254948043,0.3130985830193995,0.0196078431372549
v1_random_j_4_67,41533,204,0.5038446751249519,0.5100238087388997,0.3399351194208667,0.00980392156862745
v1_random_j_4_67,23893,204,0.5037485582468282,0.5109156449811718,0.33113177468660354,0.00980392156862745
v1_random_j_5_67,30032,204,0.5037485582468282,0.5158135693155613,0.3254860611724629,0.0392156862745098
v1_random_j_5_67,58667,204,0.4984621299500192,0.504587176752663,0.33502445059189384,0.0196078431372549
v1_random_j_5_67,22004,204,0.4975009611687812,0.5012658985643272,0.3370195674091618,0.0
v1_random_j_5_67,30686,204,0.5139369473279508,0.5186587844664163,0.3174926838243709,0.00980392156862745
v1_random_j_5_67,41533,204,0.5000961168781238,0.5106516692068145,0.34713023772558754,0.00980392156862745
v1_random_j_5_67,23893,204,0.4979815455594003,0.5124644544618611,0.32414846025880234,0.00980392156862745
residual_pca_67,30032,204,0.5091311034217609,0.5120394177042129,0.2622429504788436,0.0196078431372549
residual_pca_67,58667,204,0.5157631680123029,0.5410915253458468,0.26067283434655836,0.0392156862745098
residual_pca_67,22004,204,0.502402921953095,0.5140590176455235,0.2651462015340536,0.0196078431372549
residual_pca_67,30686,204,0.5268166089965399,0.5377975391392567,0.25435015623363644,0.00980392156862745
residual_pca_67,41533,204,0.5105728565936177,0.5310733566014739,0.2633783891959925,0.058823529411764705
residual_pca_67,23893,204,0.4958669742406767,0.5028449630681988,0.2671640963328548,0.0196078431372549
residual_random_projection_67_seed_2026071201,30032,204,0.4980776624375241,0.5053820987513609,0.3385273440521926,0.0196078431372549
residual_random_projection_67_seed_2026071201,58667,204,0.5018262206843522,0.5076064892929724,0.34297573995159814,0.0196078431372549
residual_random_projection_67_seed_2026071201,22004,204,0.4949058054594387,0.5023202992487297,0.3504496092678825,0.0
residual_random_projection_67_seed_2026071201,30686,204,0.5007689350249904,0.5103675979324369,0.343283384706111,0.00980392156862745
residual_random_projection_67_seed_2026071201,41533,204,0.4897154940407536,0.49871709909052914,0.34564481745447906,0.00980392156862745
residual_random_projection_67_seed_2026071201,23893,204,0.49932718185313346,0.5060651487176538,0.3490514335798679,0.0196078431372549
residual_random_projection_67_seed_2026071202,30032,204,0.4964436755094194,0.5047663956931379,0.34791411240651865,0.029411764705882353
residual_random_projection_67_seed_2026071202,58667,204,0.49778931180315267,0.506346497898295,0.33800083236492795,0.029411764705882353
residual_random_projection_67_seed_2026071202,22004,204,0.5064398308342946,0.5131785695798601,0.33492628573514127,0.0196078431372549
residual_random_projection_67_seed_2026071202,30686,204,0.500480584390619,0.5047328886149243,0.3356075273097718,0.0196078431372549
residual_random_projection_67_seed_2026071202,41533,204,0.5054786620530566,0.5233086803635014,0.3384991035381298,0.00980392156862745
residual_random_projection_67_seed_2026071202,23893,204,0.4950980392156863,0.5027692663362276,0.3444051054939077,0.00980392156862745
residual_random_projection_67_seed_2026071203,30032,204,0.5053825451749326,0.5143435929983157,0.35039137614013965,0.00980392156862745
residual_random_projection_67_seed_2026071203,58667,204,0.5006728181468666,0.5114158416799006,0.33858082150302093,0.00980392156862745
residual_random_projection_67_seed_2026071203,22004,204,0.505670895809304,0.5126631156257581,0.33791492378574706,0.00980392156862745
residual_random_projection_67_seed_2026071203,30686,204,0.5033640907343329,0.5115471341024207,0.32438083306516363,0.00980392156862745
residual_random_projection_67_seed_2026071203,41533,204,0.5040369088811996,0.5145287476388133,0.33278793539514107,0.00980392156862745
residual_random_projection_67_seed_2026071203,23893,204,0.4983660130718955,0.5088106464357887,0.33896958621747586,0.00980392156862745
residual_random_projection_67_seed_2026071204,30032,204,0.5016339869281046,0.5115759284971488,0.3414067370489048,0.00980392156862745
residual_random_projection_67_seed_2026071204,58667,204,0.5004805843906189,0.5107466543672899,0.35953947524716784,0.0196078431372549
residual_random_projection_67_seed_2026071204,22004,204,0.5024990388312187,0.5163385433866713,0.3480599129898023,0.0196078431372549
residual_random_projection_67_seed_2026071204,30686,204,0.4919261822376009,0.4988417858812635,0.3465762396373978,0.0196078431372549
residual_random_projection_67_seed_2026071204,41533,204,0.4917339484813534,0.5013701663849318,0.35538666674527575,0.00980392156862745
residual_random_projection_67_seed_2026071204,23893,204,0.49615532487504804,0.5027890805878813,0.3436353680892157,0.00980392156862745
residual_random_projection_67_seed_2026071205,30032,204,0.5017301038062284,0.510867030249132,0.3455046949024465,0.00980392156862745
residual_random_projection_67_seed_2026071205,58667,204,0.49384851980007693,0.5045929451077441,0.37460462311701437,0.00980392156862745
residual_random_projection_67_seed_2026071205,22004,204,0.49826989619377166,0.5036708469507813,0.34599630329112463,0.0196078431372549
residual_random_projection_67_seed_2026071205,30686,204,0.499038831218762,0.5055389974708513,0.3428726342637617,0.00980392156862745
residual_random_projection_67_seed_2026071205,41533,204,0.5017301038062283,0.509647773668327,0.33597441035445497,0.00980392156862745
residual_random_projection_67_seed_2026071205,23893,204,0.4921184159938485,0.5031372359370059,0.34458510058288805,0.00980392156862745
residual_full_8192,30032,204,0.5090349865436371,0.5129816695385613,0.46396846910035916,0.0
residual_full_8192,58667,204,0.5166282199154172,0.5153574321843348,0.4623166275054928,0.0
residual_full_8192,22004,204,0.4934159938485198,0.5011756955692541,0.4864145206322895,0.0
residual_full_8192,30686,204,0.5105728565936178,0.5161897166434037,0.47407400211065714,0.0196078431372549
residual_full_8192,41533,204,0.5049019607843137,0.5052239053882251,0.46345860487841206,0.0
residual_full_8192,23893,204,0.5062956555171088,0.518190735272205,0.4935482900049319,0.0196078431372549
