transport,hard_negative_family,lexicon,mean_oriented_z,ci_low,ci_high,cluster_signflip_one_sided_p,holm_adjusted_p,material_deception_leakage
jacobian,refusal_safety,deception_dishonesty,-0.018451077156373067,-0.026109204603142113,-0.011204675495161296,1.0,1.0,False
jacobian,hedging_uncertainty,deception_dishonesty,-0.012250999188023224,-0.016784670569008075,-0.0077332833975762945,1.0,1.0,False
jacobian,formality_politeness,deception_dishonesty,0.027669021603537652,0.02250886601780699,0.03314221370729093,4.999750012499375e-05,0.00014999250037498125,False
identity,refusal_safety,deception_dishonesty,-0.09445609557113219,-0.11092023744324309,-0.07949951481102677,1.0,1.0,False
identity,hedging_uncertainty,deception_dishonesty,0.051468522831861506,0.04129508654797218,0.061901806760114524,4.999750012499375e-05,0.00014999250037498125,False
identity,formality_politeness,deception_dishonesty,0.05702857409699162,0.04565000601824191,0.06898562772844184,4.999750012499375e-05,0.00014999250037498125,False
random_j_1,refusal_safety,deception_dishonesty,0.08415116417424652,0.05812410946339239,0.10924635943520702,4.999750012499375e-05,0.00014999250037498125,False
random_j_1,hedging_uncertainty,deception_dishonesty,-0.02812307003483624,-0.04177614190403531,-0.015106330246848923,0.999950002499875,1.0,False
random_j_1,formality_politeness,deception_dishonesty,-0.006558063718309448,-0.021085344624686024,0.007816407945219763,0.8056097195140243,1.0,False
random_j_2,refusal_safety,deception_dishonesty,-0.06685621735990104,-0.0986438048903983,-0.036242785149474856,0.999950002499875,1.0,False
random_j_2,hedging_uncertainty,deception_dishonesty,0.04257183203006981,0.02398613878439878,0.06095947337360768,4.999750012499375e-05,0.00014999250037498125,False
random_j_2,formality_politeness,deception_dishonesty,-0.05284692673021166,-0.06786891236390265,-0.03782917693845423,1.0,1.0,False
random_j_3,refusal_safety,deception_dishonesty,0.04654094586650908,0.024544676680813806,0.06758617967487555,9.99950002499875e-05,0.0002999850007499625,False
random_j_3,hedging_uncertainty,deception_dishonesty,0.010318004802498332,-0.00048242855125796606,0.02093163626910146,0.031948402579871006,0.06389680515974201,False
random_j_3,formality_politeness,deception_dishonesty,-0.044688455575392194,-0.05544012248996636,-0.03417860148307725,1.0,1.0,False
random_j_4,refusal_safety,deception_dishonesty,0.0608447524152048,0.03919822515310794,0.08310554592245552,4.999750012499375e-05,0.00014999250037498125,False
random_j_4,hedging_uncertainty,deception_dishonesty,-0.13279055591764724,-0.14963204006581504,-0.1165345904373901,1.0,1.0,False
random_j_4,formality_politeness,deception_dishonesty,-0.08982975209486051,-0.10622603898172549,-0.07353867834884803,1.0,1.0,False
random_j_5,refusal_safety,deception_dishonesty,0.029234090800364505,0.014082528724630759,0.04413117147405783,0.00024998750062496874,0.0004999750012499375,False
random_j_5,hedging_uncertainty,deception_dishonesty,0.03418089661135684,0.024398189644874845,0.04407857866880674,4.999750012499375e-05,0.00014999250037498125,False
random_j_5,formality_politeness,deception_dishonesty,-0.02129833379698898,-0.03365841348881548,-0.009442887359826018,0.9994000299985001,0.9994000299985001,False
