sae_key,construct,feature_id,discovery_rank,selection_eligible,selection_rank,selected,discovery_contrast,selection_contrast,confirmation_contrast,decoder_norm,discovery_mean_activation,discovery_positive_item_fraction,selection_positive_item_fraction,active_q90
pt_mlp_l13_w16384,deception_roleplay,1588,1,1,1,1,10.358756065368652,7.472517967224121,8.878908157348633,0.9999489784240723,4.682456970214844,0.44642857142857145,0.3875,20.0875
pt_mlp_l13_w16384,deception_roleplay,2366,2,1,3,1,5.6342692375183105,4.212011814117432,4.766137599945068,1.0000251531600952,2.651395082473755,0.33035714285714285,0.3375,12.0
pt_mlp_l13_w16384,deception_roleplay,1175,3,1,16,0,5.504688262939453,2.6458282470703125,0.7925910949707031,0.9992144703865051,47.881473541259766,1.0,1.0,
pt_mlp_l13_w16384,deception_roleplay,9488,4,1,5,1,4.6250152587890625,3.89166259765625,-0.8073272705078125,0.9993216395378113,151.9522247314453,1.0,1.0,156.0
pt_mlp_l13_w16384,deception_roleplay,12895,5,1,4,1,4.5670084953308105,4.079394817352295,3.893833875656128,0.999986469745636,2.289508819580078,0.39375,0.3669642857142857,10.25
pt_mlp_l13_w16384,deception_roleplay,4586,6,1,2,1,4.555778503417969,6.081607818603516,4.225390911102295,0.9999516606330872,2.211160659790039,0.32142857142857145,0.31607142857142856,17.125
pt_mlp_l13_w16384,deception_roleplay,1482,7,1,7,0,3.9980955123901367,3.731934070587158,3.9557764530181885,0.9999945759773254,2.3646903038024902,0.34910714285714284,0.38035714285714284,
pt_mlp_l13_w16384,deception_roleplay,15954,8,1,11,0,3.89013671875,3.245833158493042,3.4065916538238525,0.9999630451202393,2.389927387237549,0.26517857142857143,0.32589285714285715,
pt_mlp_l13_w16384,deception_roleplay,12249,9,1,6,1,3.555419921875,3.737548828125,3.543440103530884,1.000043511390686,1.8067103624343872,0.3723214285714286,0.375,10.650000000000006
pt_mlp_l13_w16384,deception_roleplay,11319,10,1,48,0,3.210644483566284,1.4476807117462158,1.9647324085235596,1.0000067949295044,2.1280901432037354,0.3767857142857143,0.3767857142857143,
pt_mlp_l13_w16384,deception_roleplay,11425,11,1,10,0,3.160310983657837,3.299015522003174,3.240995168685913,0.9999025464057922,1.508182168006897,0.16785714285714284,0.16875,
pt_mlp_l13_w16384,deception_roleplay,6972,12,1,22,0,3.067049026489258,2.4366536140441895,1.9358606338500977,1.0000290870666504,3.890422821044922,0.8357142857142857,0.8392857142857143,
pt_mlp_l13_w16384,deception_roleplay,15506,13,1,9,0,3.0255861282348633,3.349837303161621,3.408895492553711,1.0000231266021729,2.320814847946167,0.39464285714285713,0.35714285714285715,
pt_mlp_l13_w16384,deception_roleplay,6738,14,1,14,0,2.977994680404663,2.9120852947235107,2.746123790740967,0.9998959302902222,1.4868652820587158,0.2955357142857143,0.31160714285714286,
pt_mlp_l13_w16384,deception_roleplay,9737,15,1,12,0,2.9635579586029053,2.947510004043579,2.532046318054199,0.999977171421051,1.3486746549606323,0.3125,0.30357142857142855,
pt_mlp_l13_w16384,deception_roleplay,4230,16,1,52,0,2.8869705200195312,1.2652673721313477,1.1882483959197998,1.0000407695770264,5.4825615882873535,0.8580357142857142,0.8392857142857143,
pt_mlp_l13_w16384,deception_roleplay,11708,17,1,8,0,2.8863933086395264,3.728287696838379,2.9593217372894287,0.9999763369560242,1.433370590209961,0.2357142857142857,0.24553571428571427,
pt_mlp_l13_w16384,deception_roleplay,9977,18,1,13,0,2.864558696746826,2.945223093032837,2.7967472076416016,1.000097393989563,1.5451520681381226,0.3107142857142857,0.2741071428571429,
pt_mlp_l13_w16384,deception_roleplay,5691,19,1,32,0,2.81884765625,1.7786211967468262,1.2546030282974243,1.0000451803207397,1.2761998176574707,0.12589285714285714,0.12232142857142857,
pt_mlp_l13_w16384,deception_roleplay,15947,20,1,24,0,2.7342939376831055,2.2393393516540527,2.333207607269287,0.9999924302101135,2.1441266536712646,0.47410714285714284,0.4616071428571429,
pt_mlp_l13_w16384,deception_roleplay,6275,21,1,18,0,2.6480956077575684,2.577864408493042,2.497439384460449,1.0000258684158325,1.2068220376968384,0.3196428571428571,0.2955357142857143,
pt_mlp_l13_w16384,deception_roleplay,2822,22,1,20,0,2.6223714351654053,2.4975504875183105,2.451587438583374,0.9999333024024963,1.3169224262237549,0.20892857142857144,0.2375,
pt_mlp_l13_w16384,deception_roleplay,1686,23,1,37,0,2.5638022422790527,1.6823405027389526,1.9407562017440796,1.0000154972076416,1.3520786762237549,0.3508928571428571,0.2732142857142857,
pt_mlp_l13_w16384,deception_roleplay,14003,24,1,26,0,2.539217233657837,2.083463668823242,2.2980756759643555,1.0000240802764893,1.3690080642700195,0.4294642857142857,0.3875,
pt_mlp_l13_w16384,deception_roleplay,8489,25,1,64,0,2.5360183715820312,-0.10807323455810547,-0.4262723922729492,0.9999361634254456,9.780315399169922,0.9919642857142857,1.0,
pt_mlp_l13_w16384,deception_roleplay,7033,26,1,44,0,2.5145668983459473,1.5583983659744263,2.1474130153656006,1.000061273574829,1.1802315711975098,0.20535714285714285,0.20089285714285715,
pt_mlp_l13_w16384,deception_roleplay,3666,27,1,40,0,2.5035648345947266,1.6391764879226685,1.6052697896957397,0.9999673366546631,1.5872489213943481,0.3410714285714286,0.2839285714285714,
