variant_type,feature_id,n_pairs,mean_feature_z_delta,ci_low,ci_high
deception_cue_ablated,22004,96,-0.034182979221079865,-0.10398400353739935,0.0
deception_cue_ablated,23893,96,-0.18098536439729745,-0.4407188574823145,0.07673518637802407
deception_cue_ablated,30032,96,0.04809307229284788,-0.11724211702491669,0.22963207519819062
deception_cue_ablated,30686,96,-0.32195515804203995,-0.520198784273994,-0.1297857782492997
deception_cue_ablated,41533,96,-0.563860139620538,-0.7168078434159294,-0.4129914104101631
deception_cue_ablated,58667,96,-0.675402905037418,-0.9331256923583483,-0.4391085688846848
neutral_cue_transplant,22004,93,0.08019467265942491,0.0,0.22963862406561444
neutral_cue_transplant,23893,93,0.3061281125927767,0.14778450884992445,0.4945440274024084
neutral_cue_transplant,30032,93,1.3642810862112413,0.9279503338705611,1.859532654644076
neutral_cue_transplant,30686,93,0.6226328001196434,0.4309556149320773,0.83305706511777
neutral_cue_transplant,41533,93,0.7542382956456417,0.5163159522691882,1.01828197550153
neutral_cue_transplant,58667,93,0.16407210659468646,0.08469394763111866,0.2597796886557105
subjective_cue_transplant,22004,91,0.13039125018339023,0.0,0.3868807264387717
subjective_cue_transplant,23893,91,0.47095222120960256,0.205506944438473,0.7947232270425242
subjective_cue_transplant,30032,91,1.21236628567857,0.748635117243603,1.717863441135351
subjective_cue_transplant,30686,91,0.5582396754212888,0.37502763698676295,0.760370444451063
subjective_cue_transplant,41533,91,0.8791982677590507,0.5855173711512722,1.2061771907280967
subjective_cue_transplant,58667,91,0.20286046948194456,0.11125897601545841,0.30966819205452223
deception_scrambled,22004,96,-0.034182979221079865,-0.10285613499802368,0.0
deception_scrambled,23893,96,-1.1134117293840808,-1.5631126701354194,-0.7234936864191319
deception_scrambled,30032,96,-0.4586426172132374,-0.5907994586105251,-0.3326077556453203
deception_scrambled,30686,96,-1.342971890118574,-1.7139265868553715,-0.9964830387542218
deception_scrambled,41533,96,-0.9160269142752965,-1.0311095100429735,-0.8066044045142963
deception_scrambled,58667,96,-1.2805765327402285,-1.6845513045734486,-0.9085595283910666
