sae_key,construct,feature_id,discovery_rank,selection_eligible,selection_rank,selected,discovery_contrast,selection_contrast,confirmation_contrast,decoder_norm,discovery_mean_activation,discovery_positive_item_fraction,selection_positive_item_fraction,active_q90
it_res_l31_w16384,deception_roleplay,7233,1,1,1,1,72.15052032470703,56.339317321777344,61.69116973876953,1.0003211498260498,54.29174041748047,0.48214285714285715,0.4830357142857143,140.0
it_res_l31_w16384,deception_roleplay,11943,2,1,4,1,48.13977813720703,36.459503173828125,40.54694366455078,1.0001033544540405,22.637054443359375,0.35982142857142857,0.3830357142857143,91.1
it_res_l31_w16384,deception_roleplay,10872,3,1,5,1,38.971744537353516,29.293750762939453,29.412109375,1.0000073909759521,21.43431854248047,0.12946428571428573,0.12053571428571429,227.0
it_res_l31_w16384,deception_roleplay,9543,4,1,2,1,38.35898208618164,43.49491882324219,37.93088912963867,1.0000991821289062,18.75440788269043,0.4089285714285714,0.42410714285714285,107.0
it_res_l31_w16384,deception_roleplay,3385,5,1,60,0,36.74531173706055,4.896615982055664,16.2032527923584,0.999867856502533,45.254798889160156,0.3508928571428571,0.2714285714285714,
it_res_l31_w16384,deception_roleplay,7498,6,1,3,1,35.003780364990234,37.65045166015625,46.10856628417969,0.9999459981918335,30.426116943359375,0.5705357142857143,0.45982142857142855,103.0
it_res_l31_w16384,deception_roleplay,471,7,1,11,0,32.680599212646484,23.00989532470703,28.216320037841797,0.9999018907546997,14.127567291259766,0.17946428571428572,0.1357142857142857,
it_res_l31_w16384,deception_roleplay,13393,8,1,7,0,31.437042236328125,24.186912536621094,26.76818084716797,0.9999432563781738,24.752622604370117,0.5116071428571428,0.5517857142857143,
it_res_l31_w16384,deception_roleplay,2400,9,1,14,0,29.965496063232422,20.348827362060547,29.306381225585938,0.9999468326568604,13.58203125,0.15535714285714286,0.16964285714285715,
it_res_l31_w16384,deception_roleplay,3898,10,1,64,0,29.36458396911621,0.4536457061767578,11.66368293762207,0.9998915791511536,13.731696128845215,0.11517857142857142,0.13482142857142856,
it_res_l31_w16384,deception_roleplay,16020,11,1,18,0,28.41497230529785,18.87200355529785,16.470247268676758,0.9999540448188782,12.39464282989502,0.10982142857142857,0.08214285714285714,
it_res_l31_w16384,deception_roleplay,762,12,1,54,0,28.042055130004883,7.3302741050720215,21.127050399780273,0.9999675750732422,12.026674270629883,0.06607142857142857,0.06607142857142857,
it_res_l31_w16384,deception_roleplay,826,13,1,6,1,26.55318832397461,26.936784744262695,25.72317886352539,0.9999703168869019,20.323270797729492,0.5473214285714286,0.5607142857142857,51.25
