sae_key,construct,feature_id,discovery_rank,selection_eligible,selection_rank,selected,discovery_contrast,selection_contrast,confirmation_contrast,decoder_norm,discovery_mean_activation,discovery_positive_item_fraction,selection_positive_item_fraction,active_q90
pt_res_l36_w16384,deception_roleplay,4559,1,1,2,1,64.59896087646484,47.54928207397461,54.5235481262207,0.9999650716781616,49.16160583496094,0.46875,0.44375,128.0
pt_res_l36_w16384,deception_roleplay,1650,2,1,1,1,52.43130874633789,49.88047409057617,48.90699005126953,1.0000566244125366,31.05150604248047,0.7348214285714286,0.7875,92.94999999999999
pt_res_l36_w16384,deception_roleplay,4861,3,1,8,0,39.161842346191406,26.196029663085938,28.510229110717773,0.9999561309814453,24.081695556640625,0.5446428571428571,0.6,
pt_res_l36_w16384,deception_roleplay,6881,4,1,54,0,35.43046951293945,11.279624938964844,16.80892562866211,1.0000226497650146,29.369531631469727,0.7017857142857142,0.7741071428571429,
pt_res_l36_w16384,deception_roleplay,15245,5,1,52,0,34.064449310302734,11.71406364440918,26.378341674804688,1.000043272972107,15.234821319580078,0.21607142857142858,0.20267857142857143,
pt_res_l36_w16384,deception_roleplay,4992,6,1,7,0,33.62825393676758,26.943490982055664,30.780040740966797,1.0000619888305664,14.987611770629883,0.2642857142857143,0.25535714285714284,
pt_res_l36_w16384,deception_roleplay,8175,7,1,37,0,33.495445251464844,17.452083587646484,21.530414581298828,1.0000660419464111,25.38872718811035,0.725,0.7830357142857143,
pt_res_l36_w16384,deception_roleplay,3853,8,1,26,0,33.11445236206055,20.032485961914062,21.465038299560547,1.0000181198120117,16.344364166259766,0.4160714285714286,0.41696428571428573,
pt_res_l36_w16384,deception_roleplay,1891,9,1,5,1,32.934112548828125,28.24231719970703,28.23398208618164,1.0000885725021362,18.705469131469727,0.2125,0.24285714285714285,205.0
pt_res_l36_w16384,deception_roleplay,13013,10,1,9,0,32.17890548706055,25.339195251464844,28.030197143554688,0.9999414086341858,21.39866065979004,0.42410714285714285,0.4348214285714286,
pt_res_l36_w16384,deception_roleplay,8626,11,1,59,0,31.092575073242188,8.265558242797852,16.985872268676758,1.0000720024108887,42.32879638671875,0.49107142857142855,0.38839285714285715,
pt_res_l36_w16384,deception_roleplay,12766,12,1,20,0,30.99687385559082,21.68320083618164,30.693359375,0.9999880790710449,14.340066909790039,0.20625,0.22321428571428573,
pt_res_l36_w16384,deception_roleplay,23,13,1,32,0,30.680343627929688,18.568878173828125,24.783920288085938,0.9999585747718811,30.151784896850586,0.6928571428571428,0.7107142857142857,
pt_res_l36_w16384,deception_roleplay,11436,14,1,6,1,29.83828353881836,27.41197967529297,27.01879119873047,1.0000501871109009,17.346317291259766,0.5964285714285714,0.5785714285714286,54.0
