sae_key,construct,feature_id,discovery_rank,selection_eligible,selection_rank,selected,discovery_contrast,selection_contrast,confirmation_contrast,decoder_norm,discovery_mean_activation,discovery_positive_item_fraction,selection_positive_item_fraction,active_q90
pt_att_l12_w16384,deception_roleplay,254,1,1,4,1,2.6375365257263184,1.7596515417099,1.8389867544174194,1.0000495910644531,1.1795654296875,0.38571428571428573,0.41696428571428573,4.137500000000001
pt_att_l12_w16384,deception_roleplay,8444,2,1,1,1,2.424894332885742,1.9681965112686157,1.9756641387939453,1.000044822692871,1.497335433959961,0.45714285714285713,0.4401785714285714,5.71875
pt_att_l12_w16384,deception_roleplay,1524,3,1,3,1,2.210343360900879,1.8092855215072632,1.8014729022979736,1.000055193901062,0.9820940494537354,0.32410714285714287,0.3267857142857143,4.4375
pt_att_l12_w16384,deception_roleplay,3453,4,1,2,1,1.7659096717834473,1.8139405250549316,2.208940267562866,1.000083327293396,1.1336286067962646,0.3142857142857143,0.29732142857142857,7.21875
pt_att_l12_w16384,deception_roleplay,8719,5,1,6,1,1.6192139387130737,1.5816893577575684,1.6152175664901733,0.9999946355819702,0.7731968760490417,0.3169642857142857,0.3151785714285714,4.3125
pt_att_l12_w16384,deception_roleplay,11830,6,1,8,0,1.6167643070220947,1.4255086183547974,1.352410912513733,0.9998583793640137,0.7942870855331421,0.3464285714285714,0.3580357142857143,
pt_att_l12_w16384,deception_roleplay,14522,7,1,28,0,1.6136393547058105,0.9052000641822815,1.6701018810272217,0.9998085498809814,1.3881486654281616,0.34464285714285714,0.2875,
pt_att_l12_w16384,deception_roleplay,15203,8,1,16,0,1.5290281772613525,1.1447182893753052,1.3114962577819824,1.0000618696212769,0.7581961750984192,0.31160714285714286,0.2732142857142857,
pt_att_l12_w16384,deception_roleplay,10417,9,1,15,0,1.5233194828033447,1.1649739742279053,1.1696851253509521,0.9999168515205383,0.9950578808784485,0.40714285714285714,0.3732142857142857,
pt_att_l12_w16384,deception_roleplay,14827,10,1,18,0,1.4913817644119263,1.1259195804595947,1.4689778089523315,0.999954342842102,0.7359583973884583,0.37589285714285714,0.36875,
pt_att_l12_w16384,deception_roleplay,13300,11,1,25,0,1.4381591081619263,0.9562011361122131,1.2488354444503784,0.9999471306800842,1.3318010568618774,0.5178571428571429,0.4919642857142857,
pt_att_l12_w16384,deception_roleplay,7153,12,1,10,0,1.3822427988052368,1.3093749284744263,1.2874677181243896,0.9999187588691711,0.65625,0.28125,0.28035714285714286,
pt_att_l12_w16384,deception_roleplay,14687,13,1,5,1,1.3693361282348633,1.622770071029663,1.8089485168457031,0.9998824000358582,0.9999302625656128,0.48482142857142857,0.4544642857142857,3.753125
pt_att_l12_w16384,deception_roleplay,15191,14,1,11,0,1.3685749769210815,1.273164987564087,1.1297831535339355,1.000054955482483,2.845172882080078,0.9705357142857143,0.9883928571428572,
pt_att_l12_w16384,deception_roleplay,2546,15,1,20,0,1.3617757558822632,1.0546631813049316,0.9548104405403137,1.000036597251892,0.6432756781578064,0.23660714285714285,0.25625,
pt_att_l12_w16384,deception_roleplay,7625,16,1,7,0,1.3211588859558105,1.5538818836212158,1.371854543685913,1.0000683069229126,0.9500139355659485,0.44910714285714287,0.47946428571428573,
pt_att_l12_w16384,deception_roleplay,5792,17,1,38,0,1.1826903820037842,0.7836588621139526,0.7680596113204956,0.9998650550842285,1.1633371114730835,0.7053571428571429,0.7589285714285714,
pt_att_l12_w16384,deception_roleplay,9083,18,1,35,0,1.1596678495407104,0.8056151866912842,0.6401937007904053,1.0000853538513184,0.6648158431053162,0.23035714285714284,0.22142857142857142,
pt_att_l12_w16384,deception_roleplay,1041,19,1,26,0,1.139859914779663,0.9557210206985474,1.1241743564605713,0.9997692108154297,1.5269670486450195,0.5089285714285714,0.5714285714285714,
pt_att_l12_w16384,deception_roleplay,3091,20,1,9,0,1.1326253414154053,1.310302734375,1.2587039470672607,1.0000054836273193,1.8065917491912842,0.5946428571428571,0.6294642857142857,
pt_att_l12_w16384,deception_roleplay,12694,21,1,44,0,1.1101927757263184,0.7658243775367737,0.8301453590393066,0.9999274611473083,0.670092761516571,0.42857142857142855,0.43660714285714286,
pt_att_l12_w16384,deception_roleplay,8418,22,1,34,0,1.0794962644577026,0.8288208246231079,0.909221887588501,0.9999266862869263,0.5912841558456421,0.40089285714285716,0.375,
pt_att_l12_w16384,deception_roleplay,3425,23,1,17,0,1.076371431350708,1.142919898033142,1.0476393699645996,0.9998922348022461,0.8620291352272034,0.5142857142857142,0.5553571428571429,
pt_att_l12_w16384,deception_roleplay,1036,24,1,43,0,1.0396605730056763,0.7670859098434448,0.7314972281455994,1.0001798868179321,1.2678711414337158,0.5,0.41517857142857145,
