feature_id,base_coefficient,n,positive,affirmation_rate,wilson_low,wilson_high
30032,-0.6,10,10,1.0,0.7224672001371107,0.9999999999999999
30032,-0.5,10,10,1.0,0.7224672001371107,0.9999999999999999
30032,-0.4,10,10,1.0,0.7224672001371107,0.9999999999999999
30032,-0.3,10,10,1.0,0.7224672001371107,0.9999999999999999
30032,-0.2,10,9,0.9,0.5958499732047615,0.9821237869049271
30032,-0.1,10,7,0.7,0.39677814746114537,0.8922087325936989
30032,0.0,10,10,1.0,0.7224672001371107,0.9999999999999999
30032,0.1,10,10,1.0,0.7224672001371107,0.9999999999999999
30032,0.2,10,9,0.9,0.5958499732047615,0.9821237869049271
30032,0.3,10,10,1.0,0.7224672001371107,0.9999999999999999
30032,0.4,10,9,0.9,0.5958499732047615,0.9821237869049271
30032,0.5,10,10,1.0,0.7224672001371107,0.9999999999999999
30032,0.6,10,9,0.9,0.5958499732047615,0.9821237869049271
58667,-0.6,10,10,1.0,0.7224672001371107,0.9999999999999999
58667,-0.5,10,10,1.0,0.7224672001371107,0.9999999999999999
58667,-0.4,10,10,1.0,0.7224672001371107,0.9999999999999999
58667,-0.3,10,9,0.9,0.5958499732047615,0.9821237869049271
58667,-0.2,10,9,0.9,0.5958499732047615,0.9821237869049271
58667,-0.1,10,10,1.0,0.7224672001371107,0.9999999999999999
58667,0.0,10,10,1.0,0.7224672001371107,0.9999999999999999
58667,0.1,10,9,0.9,0.5958499732047615,0.9821237869049271
58667,0.2,10,9,0.9,0.5958499732047615,0.9821237869049271
58667,0.3,10,10,1.0,0.7224672001371107,0.9999999999999999
58667,0.4,10,10,1.0,0.7224672001371107,0.9999999999999999
58667,0.5,10,10,1.0,0.7224672001371107,0.9999999999999999
58667,0.6,10,9,0.9,0.5958499732047615,0.9821237869049271
22004,-0.6,10,10,1.0,0.7224672001371107,0.9999999999999999
22004,-0.5,10,10,1.0,0.7224672001371107,0.9999999999999999
22004,-0.4,10,10,1.0,0.7224672001371107,0.9999999999999999
22004,-0.3,10,10,1.0,0.7224672001371107,0.9999999999999999
22004,-0.2,10,10,1.0,0.7224672001371107,0.9999999999999999
22004,-0.1,10,10,1.0,0.7224672001371107,0.9999999999999999
22004,0.0,10,10,1.0,0.7224672001371107,0.9999999999999999
22004,0.1,10,8,0.8,0.49016247153664183,0.9433178485456247
22004,0.2,10,8,0.8,0.49016247153664183,0.9433178485456247
22004,0.3,10,8,0.8,0.49016247153664183,0.9433178485456247
22004,0.4,10,9,0.9,0.5958499732047615,0.9821237869049271
22004,0.5,10,10,1.0,0.7224672001371107,0.9999999999999999
22004,0.6,10,10,1.0,0.7224672001371107,0.9999999999999999
30686,-0.6,10,10,1.0,0.7224672001371107,0.9999999999999999
30686,-0.5,10,9,0.9,0.5958499732047615,0.9821237869049271
30686,-0.4,10,10,1.0,0.7224672001371107,0.9999999999999999
30686,-0.3,10,9,0.9,0.5958499732047615,0.9821237869049271
30686,-0.2,10,9,0.9,0.5958499732047615,0.9821237869049271
30686,-0.1,10,8,0.8,0.49016247153664183,0.9433178485456247
30686,0.0,10,10,1.0,0.7224672001371107,0.9999999999999999
30686,0.1,10,9,0.9,0.5958499732047615,0.9821237869049271
30686,0.2,10,9,0.9,0.5958499732047615,0.9821237869049271
30686,0.3,10,9,0.9,0.5958499732047615,0.9821237869049271
30686,0.4,10,9,0.9,0.5958499732047615,0.9821237869049271
30686,0.5,10,10,1.0,0.7224672001371107,0.9999999999999999
30686,0.6,10,10,1.0,0.7224672001371107,0.9999999999999999
41533,-0.6,10,10,1.0,0.7224672001371107,0.9999999999999999
41533,-0.5,10,10,1.0,0.7224672001371107,0.9999999999999999
41533,-0.4,10,8,0.8,0.49016247153664183,0.9433178485456247
41533,-0.3,10,9,0.9,0.5958499732047615,0.9821237869049271
41533,-0.2,10,9,0.9,0.5958499732047615,0.9821237869049271
41533,-0.1,10,9,0.9,0.5958499732047615,0.9821237869049271
41533,0.0,10,10,1.0,0.7224672001371107,0.9999999999999999
41533,0.1,10,10,1.0,0.7224672001371107,0.9999999999999999
41533,0.2,10,9,0.9,0.5958499732047615,0.9821237869049271
41533,0.3,10,8,0.8,0.49016247153664183,0.9433178485456247
41533,0.4,10,10,1.0,0.7224672001371107,0.9999999999999999
41533,0.5,10,10,1.0,0.7224672001371107,0.9999999999999999
41533,0.6,10,10,1.0,0.7224672001371107,0.9999999999999999
23893,-0.6,10,9,0.9,0.5958499732047615,0.9821237869049271
23893,-0.5,10,9,0.9,0.5958499732047615,0.9821237869049271
23893,-0.4,10,10,1.0,0.7224672001371107,0.9999999999999999
23893,-0.3,10,9,0.9,0.5958499732047615,0.9821237869049271
23893,-0.2,10,10,1.0,0.7224672001371107,0.9999999999999999
23893,-0.1,10,8,0.8,0.49016247153664183,0.9433178485456247
23893,0.0,10,10,1.0,0.7224672001371107,0.9999999999999999
23893,0.1,10,9,0.9,0.5958499732047615,0.9821237869049271
23893,0.2,10,10,1.0,0.7224672001371107,0.9999999999999999
23893,0.3,10,9,0.9,0.5958499732047615,0.9821237869049271
23893,0.4,10,9,0.9,0.5958499732047615,0.9821237869049271
23893,0.5,10,10,1.0,0.7224672001371107,0.9999999999999999
23893,0.6,10,10,1.0,0.7224672001371107,0.9999999999999999
