sae_key,model_kind,site,layer,width,construct,selected_feature_ids,discovery_contrast,selection_contrast,confirmation_contrast,reconstruction_fvu
pt_res_l18_w16384,pretrained_sae_on_instruction_model,residual_post,18,16384,deception_roleplay,11055|358|1167|399|10572|2503,0.3370726630091667,0.3127263970673084,0.31854312866926193,0.11745078030445386
pt_res_l18_w16384,pretrained_sae_on_instruction_model,residual_post,18,16384,hedging_refusal,10352|4731|15127|3531|15106|1603,0.34641148468169075,0.2825082860266169,0.2949610830595096,0.11745078030445386
pt_res_l18_w16384,pretrained_sae_on_instruction_model,residual_post,18,16384,subjective_self_report,358|7564|4731|12402|11693|9963,0.15766671299934387,0.19770073393980658,0.1701117679476738,0.11745078030445386
pt_res_l19_w16384,pretrained_sae_on_instruction_model,residual_post,19,16384,deception_roleplay,10589|14649|1145|3040|14566|1007,0.3778493168453375,0.3531742456058661,0.35099365189671516,0.10237358148266522
pt_res_l19_w16384,pretrained_sae_on_instruction_model,residual_post,19,16384,hedging_refusal,13568|8395|8541|13507|5127|11173,0.4062977974923948,0.34356062238415086,0.3793020357067386,0.10237358148266522
pt_res_l19_w16384,pretrained_sae_on_instruction_model,residual_post,19,16384,subjective_self_report,1145|15055|9266|7092|1984|9919,0.2696390201648076,0.33578685174385703,0.2623450110356013,0.10237358148266522
pt_res_l1_w16384,pretrained_sae_on_instruction_model,residual_post,1,16384,deception_roleplay,5167|9163|14489|7161|4720|14862,0.42428738926537335,0.3272411183764537,0.3585449277112881,0.11803348295857423
pt_res_l1_w16384,pretrained_sae_on_instruction_model,residual_post,1,16384,hedging_refusal,13767|10913|1852|11487|14439|8694,0.36562201598038274,0.2601221106015146,0.28224504257862765,0.11803348295857423
pt_res_l1_w16384,pretrained_sae_on_instruction_model,residual_post,1,16384,subjective_self_report,4671|8098|9878|14439|2520|1983,0.224662124691046,0.16789265985911092,0.22014952170623778,0.11803348295857423
pt_res_l20_w16384,pretrained_sae_on_instruction_model,residual_post,20,16384,deception_roleplay,1115|6990|8255|12440|13209|5708,0.36136769627531373,0.32525376727183664,0.32583394149939215,0.14598864036233394
pt_res_l20_w16384,pretrained_sae_on_instruction_model,residual_post,20,16384,hedging_refusal,11253|12418|9200|1515|1271|4980,0.4255734742619097,0.3186422066452603,0.34966381375367445,0.14598864036233394
pt_res_l20_w16384,pretrained_sae_on_instruction_model,residual_post,20,16384,subjective_self_report,12440|14294|7839|13790|11253|8735,0.16554831961790722,0.17193829019864398,0.17604163040717447,0.14598864036233394
pt_res_l21_w16384,pretrained_sae_on_instruction_model,residual_post,21,16384,deception_roleplay,3560|5790|523|14638|16291|5919,0.3688539837797483,0.3258668358127276,0.3373518449564775,0.12240745349959627
